team_name,season,team_wins,team_losses
old_dominion,2021,6,7
rice,2021,4,8
southern_mississippi,2021,3,9
uab,2021,9,4
utep,2021,7,6
utsa,2021,12,2
western_kentucky,2021,9,5
army,2021,9,4
byu,2021,10,3
connecticut,2021,1,11
liberty,2021,8,5
massachusetts,2021,1,11
new_mexico_state,2021,2,10
notre_dame,2021,11,2
akron,2021,2,10
ball_state,2021,6,7
bowling_green,2021,4,8
buffalo,2021,4,8
central_michigan,2021,9,4
eastern_michigan,2021,7,6
kent_state,2021,7,7
miami_ohio,2021,7,6
northern_illinois,2021,9,5
ohio,2021,3,9
toledo,2021,7,6
western_michigan,2021,8,5
air_force,2021,10,3
boise_state,2021,7,5
colorado_state,2021,3,9
fresno_state,2021,10,3
hawai'i,2021,6,7
nevada,2021,8,5
new_mexico,2021,3,9
san_diego_state,2021,12,2
san_jose_state,2021,5,7
unlv,2021,2,10
utah_state,2021,11,3
wyoming,2021,7,6
arizona,2021,1,11
arizona_state,2021,8,5
california,2021,5,7
colorado,2021,4,8
oregon,2021,10,4
oregon_state,2021,7,6
usc,2021,4,8
stanford,2021,3,9
ucla,2021,8,4
utah,2021,10,4
washington,2021,4,8
washington_state,2021,7,6
alabama,2021,13,2
arkansas,2021,9,4
auburn,2021,6,7
florida,2021,6,7
georgia,2021,14,1
kentucky,2021,10,3
lsu,2021,6,7
mississippi,2021,10,3
mississippi_state,2021,7,6
missouri,2021,6,7
south_carolina,2021,7,6
tennessee,2021,7,6
texas_a&m,2021,8,4
vanderbilt,2021,2,10
appalachian_state,2021,10,4
arkansas_state,2021,2,10
coastal_carolina,2021,11,2
georgia_southern,2021,3,9
georgia_state,2021,8,5
louisiana-lafayette,2021,13,1
louisiana-monroe,2021,4,8
south_alabama,2021,5,7
texas_state,2021,4,8
troy,2021,5,7
cincinnati,2022,9,4
east_carolina,2022,8,5
houston,2022,8,5
memphis,2022,7,6
navy,2022,4,8
south_florida,2022,1,11
smu,2022,7,6
temple,2022,3,9
tulane,2022,12,2
tulsa,2022,5,7
ucf,2022,9,5
boston_college,2022,3,9
clemson,2022,11,3
duke,2022,9,4
florida_state,2022,10,3
georgia_tech,2022,5,7
louisville,2022,8,5
miami_florida,2022,5,7
north_carolina,2022,9,5
north_carolina_state,2022,8,5
pittsburgh,2022,9,4
syracuse,2022,7,6
virginia,2022,3,7
virginia_tech,2022,3,8
wake_forest,2022,8,5
baylor,2022,6,7
iowa_state,2022,4,8
kansas,2022,6,7
kansas_state,2022,10,4
oklahoma,2022,6,7
oklahoma_state,2022,7,6
tcu,2022,13,2
texas,2022,8,5
texas_tech,2022,8,5
west_virginia,2022,5,7
illinois,2022,8,5
indiana,2022,4,8
iowa,2022,8,5
maryland,2022,8,5
michigan,2022,13,1
michigan_state,2022,5,7
minnesota,2022,9,4
nebraska,2022,4,8
northwestern,2022,1,11
ohio_state,2022,11,2
penn_state,2022,11,2
purdue,2022,8,6
rutgers,2022,4,8
wisconsin,2022,7,6
charlotte,2022,3,9
florida_atlantic,2022,5,7
florida_international,2022,4,8
louisiana_tech,2022,3,9
middle_tennessee,2022,8,5
north_texas,2022,7,7
rice,2022,5,8
uab,2022,7,6
utep,2022,5,7
utsa,2022,11,3
western_kentucky,2022,9,5
army,2022,6,6
byu,2022,8,5
connecticut,2022,6,7
liberty,2022,8,5
massachusetts,2022,1,11
new_mexico_state,2022,7,6
notre_dame,2022,9,4
akron,2022,2,10
ball_state,2022,5,7
bowling_green,2022,6,7
buffalo,2022,7,6
central_michigan,2022,4,8
eastern_michigan,2022,9,4
kent_state,2022,5,7
miami_ohio,2022,6,7
northern_illinois,2022,3,9
ohio,2022,10,4
toledo,2022,9,5
western_michigan,2022,5,7
air_force,2022,10,3
boise_state,2022,10,4
colorado_state,2022,3,9
fresno_state,2022,10,4
hawai'i,2022,3,10
nevada,2022,2,10
new_mexico,2022,2,10
san_diego_state,2022,7,6
san_jose_state,2022,7,5
unlv,2022,5,7
utah_state,2022,6,7
wyoming,2022,7,6
arizona,2022,5,7
arizona_state,2022,3,9
california,2022,4,8
colorado,2022,1,11
oregon,2022,10,3
oregon_state,2022,10,3
usc,2022,11,3
stanford,2022,3,9
ucla,2022,9,4
utah,2022,10,4
washington,2022,11,2
washington_state,2022,7,6
alabama,2022,11,2
arkansas,2022,7,6
auburn,2022,5,7
florida,2022,6,7
georgia,2022,15,0
kentucky,2022,7,6
lsu,2022,10,4
mississippi,2022,8,5
mississippi_state,2022,9,4
missouri,2022,6,7
south_carolina,2022,8,5
tennessee,2022,11,2
texas_a&m,2022,5,7
vanderbilt,2022,5,7
appalachian_state,2022,6,6
