transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g
False,Alan Bowman,2019,QB,texas_tech,SO,3,154,101,65.6,1020,6.6,6,3,130.17,51.3,340.0,alan_bowman_texas_tech,7,14,2.00,1,2.33,4.67
True,Alan Bowman,2020,QB,texas_tech,SO,8,232,150,64.7,1602,6.9,10,7,130.85,29.0,200.3,alan_bowman_texas_tech,10,3,0.30,0,1.25,0.38
False,Alan Bowman,2023,QB,oklahoma_state,SR,14,501,304,60.7,3460,6.9,15,14,122.98,35.8,247.1,alan_bowman_oklahoma_state,26,24,0.92,2,1.86,1.71
False,Alan Bowman,2024,QB,oklahoma_state,SR,6,214,127,59.3,1653,7.7,12,8,135.25,35.7,275.5,alan_bowman_oklahoma_state,13,-4,-0.31,0,2.17,-0.67
False,Alberto Mendoza,2024,QB,indiana,FR,1,1,1,100.0,6,6.0,0,0,150.4,1.0,6.0,alberto_mendoza_indiana,2,-3,-1.50,0,2.00,-3.00
False,Alec Morris,2016,QB,north_texas,SR,6,185,105,56.8,1126,6.1,9,7,116.36,30.8,187.7,alec_morris_north_texas,17,-12,-0.71,0,2.83,-2.00
False,Alex Delton,2016,QB,kansas_state,FR,4,6,3,50.0,11,1.8,0,0,65.4,1.5,2.8,alex_delton_kansas_state,24,116,4.83,1,6.00,29.00
False,Alex Delton,2017,QB,kansas_state,SO,8,85,49,57.6,637,7.5,3,2,127.54,10.6,79.6,alex_delton_kansas_state,100,500,5.00,8,12.50,62.50
True,Alex Delton,2018,QB,kansas_state,JR,7,80,44,55.0,554,6.9,2,2,116.42,11.4,79.1,alex_delton_kansas_state,85,234,2.75,2,12.14,33.43
False,Alex Delton,2019,QB,tcu,SR,6,50,27,54.0,318,6.4,0,1,103.42,8.3,53.0,alex_delton_tcu,17,100,5.88,0,2.83,16.67
False,Alex Flinn,2023,QB,east_carolina,JR,12,290,159,54.8,1558,5.4,6,12,98.5,24.2,129.8,alex_flinn_east_carolina,96,188,1.96,0,8.00,15.67
False,Alex Hornibrook,2016,QB,wisconsin,FR,13,181,106,58.6,1262,7.0,9,7,125.8,13.9,97.1,alex_hornibrook_wisconsin,23,-81,-3.52,0,1.77,-6.23
False,Alex Hornibrook,2017,QB,wisconsin,SO,14,318,198,62.3,2644,8.3,25,15,148.61,22.7,188.9,alex_hornibrook_wisconsin,29,-101,-3.48,0,2.07,-7.21
True,Alex Hornibrook,2018,QB,wisconsin,JR,9,205,122,59.5,1532,7.5,13,11,132.48,22.8,170.2,alex_hornibrook_wisconsin,20,-61,-3.05,0,2.22,-6.78
False,Alex Hornibrook,2019,QB,florida_state,SR,5,122,84,68.9,986,8.1,7,2,152.4,24.4,197.2,alex_hornibrook_florida_state,29,-71,-2.45,0,5.80,-14.20
