name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name,season,player_id,transfer
Aaron Fuller,FR,WR,14,2,4,2.00,0,0.14,0.29,washington,2016,aaron_fuller_washington,False
Aaron Hackett,JR,TE,12,1,3,3.00,0,0.08,0.25,syracuse,2019,aaron_hackett_syracuse,False
Aaron Jackson,SO,TE,6,6,27,4.50,0,1.00,4.50,eastern_michigan,2021,aaron_jackson_eastern_michigan,False
Aaron Jones,JR,RB,12,229,1773,7.74,17,19.08,147.75,utep,2016,aaron_jones_utep,False
Aaron Mathews,SR,WR,13,1,-4,-4.00,0,0.08,-0.31,pittsburgh,2019,aaron_mathews_pittsburgh,False
Aaron McAllister,FR,RB,12,90,458,5.09,2,7.50,38.17,charlotte,2017,aaron_mcallister_charlotte,False
Aaron McAllister,SO,RB,12,91,395,4.34,2,7.58,32.92,charlotte,2018,aaron_mcallister_charlotte,False
Aaron McAllister,JR,RB,11,81,380,4.69,5,7.36,34.55,charlotte,2019,aaron_mcallister_charlotte,False
Aaron McAllister,SR,RB,5,37,254,6.86,3,7.40,50.80,charlotte,2020,aaron_mcallister_charlotte,False
Aaron McLaughlin,FR,QB,2,1,0,0.00,0,0.50,0.00,north_carolina_state,2021,aaron_mclaughlin_north_carolina_state,False
Aaron Turner,FR,WR,12,1,22,22.00,0,0.08,1.83,connecticut,2021,aaron_turner_connecticut,False
Aaron Turner,SO,WR,13,14,53,3.79,0,1.08,4.08,connecticut,2022,aaron_turner_connecticut,True
Aaron Turner,JR,WR,12,11,97,8.82,0,0.92,8.08,cincinnati,2023,aaron_turner_cincinnati,False
Aaron Winchester,FR,QB,6,49,204,4.16,1,8.17,34.00,georgia_state,2016,aaron_winchester_georgia_state,False
Aaron Winchester,SO,QB,6,21,79,3.76,0,3.50,13.17,georgia_state,2017,aaron_winchester_georgia_state,False
Aaron Winchester,JR,QB,6,32,122,3.81,2,5.33,20.33,georgia_state,2018,aaron_winchester_georgia_state,False
Aaron Young,FR,RB,12,43,153,3.56,0,3.58,12.75,rutgers,2019,aaron_young_rutgers,True
Aaron Young,SO,RB,9,35,96,2.74,1,3.89,10.67,rutgers,2020,aaron_young_rutgers,True
Aaron Young,SO,RB,13,56,205,3.66,5,4.31,15.77,rutgers,2021,aaron_young_rutgers,False
Aaron Young,JR,RB,4,11,38,3.45,0,2.75,9.50,rutgers,2022,aaron_young_rutgers,False
Aaron Young,SR,RB,9,16,94,5.88,1,1.78,10.44,rutgers,2023,aaron_young_rutgers,True
Aaron Young,SR,RB,5,77,301,3.91,2,15.40,60.20,old_dominion,2024,aaron_young_old_dominion,False
Aaron Zwahlen,FR,QB,1,2,0,0.00,0,2.00,0.00,hawai'i,2016,aaron_zwahlen_hawai'i,False
Abdul Adams,FR,RB,7,53,283,5.34,0,7.57,40.43,oklahoma,2016,abdul_adams_oklahoma,False
Abdul Adams,SO,RB,12,59,542,9.19,1,4.92,45.17,oklahoma,2017,abdul_adams_oklahoma,True
Abdul Adams,JR,RB,1,8,19,2.38,2,8.00,19.00,syracuse,2018,abdul_adams_syracuse,False
Abdul Adams,JR,RB,11,87,336,3.86,3,7.91,30.55,syracuse,2019,abdul_adams_syracuse,False
Abdul Adams,SR,RB,11,13,56,4.31,0,1.18,5.09,syracuse,2021,abdul_adams_syracuse,False
Abdul-Fatai Ibrahim,SR,WR,13,3,6,2.00,0,0.23,0.46,bowling_green,2023,abdul-fatai_ibrahim_bowling_green,True
Abdul-Fatai Ibrahim,SR,WR,5,1,7,7.00,0,0.20,1.40,louisiana_tech,2024,abdul-fatai_ibrahim_louisiana_tech,False
Abraham Alce,SO,FB,12,15,17,1.13,2,1.25,1.42,louisiana-monroe,2021,abraham_alce_louisiana-monroe,False
Abram Smith,FR,RB,6,4,11,2.75,0,0.67,1.83,baylor,2018,abram_smith_baylor,False
